club_id,franchise_id,club_name,club_slug,nhl_abbreviation,country,market_name,valid_from,valid_to,pilot_tier,club_accent,club_logo_url
NJD,NJD,New Jersey Devils,new-jersey-devils,NJD,US,New York-Newark-Jersey City NY-NJ-PA,1982-01-01,,,#CE1126,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
NYI,NYI,New York Islanders,new-york-islanders,NYI,US,New York-Newark-Jersey City NY-NJ-PA,1972-01-01,,,#00539B,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
NYR,NYR,New York Rangers,new-york-rangers,NYR,US,New York-Newark-Jersey City NY-NJ-PA,1926-01-01,,pilot-large-us,#0038A8,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
OTT,OTT,Ottawa Senators,ottawa-senators,OTT,CA,Ottawa-Gatineau ON-QC,1992-01-01,,,#C52032,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
PHI,PHI,Philadelphia Flyers,philadelphia-flyers,PHI,US,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,1967-01-01,,,#F74902,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
PIT,PIT,Pittsburgh Penguins,pittsburgh-penguins,PIT,US,Pittsburgh PA,1967-01-01,,,#FCB514,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
SJS,SJS,San Jose Sharks,san-jose-sharks,SJS,US,San Jose-Sunnyvale-Santa Clara CA,1991-01-01,,,#006D75,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
SEA,SEA,Seattle Kraken,seattle-kraken,SEA,US,Seattle-Tacoma-Bellevue WA,2021-01-01,,,#001628,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
STL,STL,St. Louis Blues,st-louis-blues,STL,US,St. Louis MO-IL,1967-01-01,,,#002F87,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
TBL,TBL,Tampa Bay Lightning,tampa-bay-lightning,TBL,US,Tampa-St. Petersburg-Clearwater FL,1992-01-01,,,#002868,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
TOR,TOR,Toronto Maple Leafs,toronto-maple-leafs,TOR,CA,Toronto ON,1927-01-01,,pilot-canada,#003E7E,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
UTA,UTA,Utah Mammoth,utah-mammoth,UTA,US,Salt Lake City UT,2024-07-01,,,#6B2C91,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg
VAN,VAN,Vancouver Canucks,vancouver-canucks,VAN,CA,Vancouver BC,1970-01-01,,,#00205B,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
VGK,VGK,Vegas Golden Knights,vegas-golden-knights,VGK,US,Las Vegas-Henderson-Paradise NV,2017-01-01,,,#B4975A,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
WSH,WSH,Washington Capitals,washington-capitals,WSH,US,Washington-Arlington-Alexandria DC-VA-MD-WV,1974-01-01,,,#C8102E,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
WPG,ATL,Winnipeg Jets,winnipeg-jets,WPG,CA,Winnipeg MB,2011-01-01,,,#041E42,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
