announcement_id,club_id,moment_type,announcement_time_utc,announcement_title,source_url,source_type,evidence_status,reviewer,reviewed_at,review_basis,player_ids,opponent_id,rule_version
roster-tor-20260626,TOR,official_roster_event,2026-06-26T02:09:32Z,New Toronto Maple Leafs Head Coach Jim Hiller,https://www.youtube.com/watch?v=nZUnbyaaMZI,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly names the head-coach appointment.,,,1.1.0
roster-uta-20251031,UTA,official_roster_event,2025-10-31T18:56:28Z,Logan Cooley Contract Extension,https://www.youtube.com/watch?v=V2MrnA4dhIw,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-van-20260604,VAN,official_roster_event,2026-06-04T23:05:00Z,Manny Malhotra named Head Coach of the Vancouver Canucks,https://www.youtube.com/watch?v=yM-VHkAYjdA,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly names the head-coach appointment.,,,1.1.0
roster-vgk-20241122,VGK,official_roster_event,2024-11-22T17:03:45Z,Brett Howden Signs Five-Year Contract Extension,https://www.youtube.com/watch?v=j0pw0ljTUHg,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-wsh-20250609,WSH,official_roster_event,2025-06-09T23:04:08Z,T.J. Oshie Announces His Retirement,https://www.youtube.com/watch?v=992m6nkTt5c,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a retirement announcement.,,,1.1.0
roster-wpg-20260619,WPG,official_roster_event,2026-06-19T17:48:54Z,Jonathan Toews announces retirement,https://www.youtube.com/watch?v=D2NIvoeYhOk,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a retirement announcement.,,,1.1.0
clinch-col-20260320,COL,playoff_clinch,2026-03-21T03:51:36Z,Avs Clinch Playoffs,https://www.youtube.com/watch?v=8kXcFVX_6jM,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-edm-20240405,EDM,playoff_clinch,2024-04-06T05:14:31Z,Edmonton Oilers clinch 2024 playoff spot,https://www.youtube.com/watch?v=9maWz6kuy9A,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-fla-20250406,FLA,playoff_clinch,2025-04-06T12:29:39Z,Playoffs clinched,https://www.youtube.com/watch?v=SygAP9Ij9rc,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-lak-20240411,LAK,playoff_clinch,2024-04-12T06:03:03Z,LA Kings clinch an NHL playoff berth,https://www.youtube.com/watch?v=dQ2lD7c7SyE,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-mtl-20250416,MTL,playoff_clinch,2025-04-17T01:48:45Z,Playoffs clinched,https://www.youtube.com/watch?v=_28-h3JEa5E,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-nyi-20240415,NYI,playoff_clinch,2024-04-16T01:46:06Z,New York Islanders clinch a spot in the 2024 Stanley Cup Playoffs,https://www.youtube.com/watch?v=mmLrGZsE1Rk,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-ott-20250409,OTT,playoff_clinch,2025-04-09T12:33:14Z,Senators clinch playoff berth,https://www.youtube.com/watch?v=Gc4CV9V6E_s,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-pit-20260410,PIT,playoff_clinch,2026-04-10T14:16:34Z,Penguins clinch playoffs,https://www.youtube.com/watch?v=9YdHVCCaLEc,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
clinch-wpg-20250326,WPG,playoff_clinch,2025-03-26T13:15:56Z,Jets clinch playoffs,https://www.youtube.com/watch?v=c07tZk3KaQA,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title explicitly records a playoff berth; API publication timestamp is the observable trigger.,,,1.1.0
community-buf-20260129,BUF,community_or_heritage_event,2026-01-29T21:27:37Z,Black History Celebration Crest,https://www.youtube.com/watch?v=bkIKyS0RwLg,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies a Black History celebration.,,,1.1.0
community-cgy-20260304,CGY,community_or_heritage_event,2026-03-04T22:42:06Z,2026 Indigenous Celebration Jersey,https://www.youtube.com/watch?v=jmLB-PWaLAk,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly introduces an Indigenous celebration asset.,,,1.1.0
community-chi-20231119,CHI,community_or_heritage_event,2023-11-20T01:00:15Z,Hockey Fights Cancer Night 2023,https://www.youtube.com/watch?v=5Pbgd4XesjQ,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Hockey Fights Cancer Night.,,,1.1.0
community-dal-20250227,DAL,community_or_heritage_event,2025-02-27T19:34:09Z,Black History Night Merchandise Collaboration,https://www.youtube.com/watch?v=AzioD93me_s,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Black History Night.,,,1.1.0
community-edm-20241205,EDM,community_or_heritage_event,2024-12-05T18:28:12Z,Hockey Fights Cancer,https://www.youtube.com/watch?v=NMnsr6lVMZA,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies a Hockey Fights Cancer community event.,,,1.1.0
community-mtl-20231115,MTL,community_or_heritage_event,2023-11-15T23:00:00Z,Habs host Hockey Fights Cancer Night at Bell Centre,https://www.youtube.com/watch?v=aXFX9M4FXNU,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Hockey Fights Cancer Night.,,,1.1.0
community-nsh-20260325,NSH,community_or_heritage_event,2026-03-25T18:51:24Z,Pride Night Jersey,https://www.youtube.com/watch?v=Lb0eKWVyrRU,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Pride Night.,,,1.1.0
community-nyi-20241123,NYI,community_or_heritage_event,2024-11-23T18:56:21Z,2024 Hockey Fights Cancer Night,https://www.youtube.com/watch?v=kK0zqx6e7q4,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Hockey Fights Cancer Night.,,,1.1.0
community-nyr-20260223,NYR,community_or_heritage_event,2026-02-23T04:30:00Z,Hockey Fights Cancer Night,https://www.youtube.com/watch?v=tkLERHqhSk8,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Hockey Fights Cancer Night.,,,1.1.0
community-ott-20260403,OTT,community_or_heritage_event,2026-04-03T15:10:07Z,Ottawa Senators Pride Night,https://www.youtube.com/watch?v=Kzhc0KHnH6U,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Pride Night.,,,1.1.0
community-phi-20240118,PHI,community_or_heritage_event,2024-01-18T18:31:45Z,Flyers Pride Game,https://www.youtube.com/watch?v=AlzIiNZlFRc,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies a Pride game.,,,1.1.0
community-sea-20251220,SEA,community_or_heritage_event,2025-12-20T00:01:27Z,Indigenous Peoples Night 2025,https://www.youtube.com/watch?v=E_BXpH28W50,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Indigenous Peoples Night.,,,1.1.0
community-sjs-20251031,SJS,community_or_heritage_event,2025-10-31T22:04:31Z,Native American Heritage Logo Artist,https://www.youtube.com/watch?v=l4hatFhV4go,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies a Native American heritage asset.,,,1.1.0
community-stl-20251216,STL,community_or_heritage_event,2025-12-16T19:00:26Z,Blues Celebrate Hockey Fights Cancer Night,https://www.youtube.com/watch?v=XPrZSzyIz2Q,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Hockey Fights Cancer Night.,,,1.1.0
community-tbl-20260320,TBL,community_or_heritage_event,2026-03-20T19:57:12Z,Pride,https://www.youtube.com/watch?v=QmooMr3kXH0,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies a Pride feature.,,,1.1.0
community-tor-20260111,TOR,community_or_heritage_event,2026-01-11T02:18:42Z,Indigenous Celebration Game,https://www.youtube.com/watch?v=mSBtpp_J_iQ,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies an Indigenous Celebration Game.,,,1.1.0
community-van-20260121,VAN,community_or_heritage_event,2026-01-21T23:00:30Z,Canucks Pride Night,https://www.youtube.com/watch?v=wmAx3-cqOv8,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Pride Night.,,,1.1.0
community-vgk-20241203,VGK,community_or_heritage_event,2024-12-03T18:04:07Z,Golden Knights Honor Hockey Fights Cancer Night,https://www.youtube.com/watch?v=nBEhZVhzmQA,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Hockey Fights Cancer Night.,,,1.1.0
community-wpg-20251123,WPG,community_or_heritage_event,2025-11-23T21:24:01Z,Winnipeg Jets honor 2025 Hockey Fights Cancer ambassadors,https://www.youtube.com/watch?v=OFk0rYEU24Y,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies Hockey Fights Cancer ambassadors.,,,1.1.0
community-wsh-20260228,WSH,community_or_heritage_event,2026-02-28T00:52:49Z,Celebrating Black History,https://www.youtube.com/watch?v=pFH_Kl4Y8zY,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Dated official club publication explicitly identifies a Black History celebration.,,,1.1.0
